Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups,Task Division
Land Use Potential for Potatoes,"Land use potential for Potatoes: based on soil and landscape attributes only. The relative potential to sustain particular crops is predicted from expert assessment of plant requirements and available soil and land attribute mapping. No account has been taken of water quality or availability, climatic factors or existing land use. This spatial dataset is part of a series depicting the potential of land for a range of agricultural uses.",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/db4f02d5-4a78-46e9-8473-30f0155bfb32,2016-08-29T02:15:40.548505,2017-01-09T05:41:24.165893,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources",,"Water, energy, resources, environment and science",Jinlei
Prescribed Water Resources Area,"This layer contains the linework of the water resource areas (surface water, groundwater and watercourse) which have been prescribed through legislation.  This layer is maintained as the master linework of the prescribed areas within the state. Please refer to the metadata document for more information.",dataset,,Creative Commons Attribution,active,Linked,asRequired,/dataset/5987e234-cf4e-4248-a9df-66e336b0be89,2013-05-18T14:05:23.456256,2016-11-25T04:06:19.306204,DataSA@sa.gov.au,N/A,N/A,N/A,South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","Quality, Resources, River, Water, Water Management, Water Quality Management, Water Resources, Water Rivers Management, Water Supply Management, Water Surface Management, nature","Water, energy, resources, environment and science",Jinlei
Soil Landscape Map Units of Southern SA,"Soil Landscape Map Units have recognizable topographic features formed on a particular geological material and containing a limited and defined range of soils. They therefore have similar land and soil characteristics and land use potential. Each Soil Landscape Map Unit incorporates a Land System, and a Soil Landscape Unit specific to that Land System. Each Soil Landscape Unit has an assigned Land Type.",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/5e667145-90ee-42f2-9e71-f51fc5c2ee58,2016-06-29T06:42:00.622241,2016-11-24T01:36:29.351563,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","environment, geomorphology, land systems, soil landscapes, soil mapping, soils","Water, energy, resources, environment and science",Jinlei
Soil Characterisation Sites,"Soil Characterisation Site dataset contains over 1,100 representative sites across South Australia, where descriptions by soil scientists have been made of morphology, chemical and physical properties, and landscape features of a range of soils. At these sites, backhoe or excavator pits were dug to depths of 150-200 cm. Profiles were photographed and described. This information is available in Soil Characterisation Site Data Sheets.",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/f6ffd75e-3d9c-4526-86bc-efb9a91af051,2016-06-29T06:48:38.227581,2016-11-08T22:54:55.129907,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","environment, morphology, soil mapping, soil profiles, soils","Water, energy, resources, environment and science",Jinlei
Recreation Trails,"This data layer includes trails, which generally consist of a formed pathway on the ground surface. Portions of some long distance trails which coincide with vehicular tracks or constructed roads, or exist only as a natural ground surface are included. Dataset includes trails managed by both the Department of Environment, Water and Natural Resources (DEWNR) and the Department of Planning, Transport and Infrastructure (DPTI) Office for Recreation and Sport (ORS). This dataset supercedes DEWNR Recreational Trail Routes (2015-superceded) and ORS Trails.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/4df53d6a-e9b0-4e20-a533-a04447db4876,2016-06-17T05:24:14.314205,2016-11-01T04:16:37.720469,datasa@sa.gov.au,,Current,,South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","recreation, sport, walking trails",Sports and Recreation,Jinlei
Conservation Reserve Boundaries,"These are the boundaries of land dedicated to conservation within South Australia. These areas protect both the fauna and flora species and are a major 'biological reservoir' for the maintenance of species diversity. This data set provides an accurate location for the legal boundary of reserves dedicated under the National Parks and Wildlife Act, Wilderness Protection Act and reserves for conservation purposes under the Crown Land Management Act 2009 in South Australia",dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/7002bf38-6f74-4b6f-a01a-620dd065511a,2013-05-17T09:00:33.157647,2016-09-20T23:16:32.185946,DEWNR.CustomerServiceCentre@sa.gov.au,N/A,February 2014,,South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","Biological, Conservation, Protected, Reserves, nature","Water, energy, resources, environment and science",Jinlei
Soils (soil type),"Sixty one soils (soil types) represent the range of soils found across South Australias agricultural lands. Mapping shows the most common soil within each map unit, while more detailed proportion data are supplied for calculating respective areas of each soil type (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/ae914203-50c3-4194-acc5-402c2cd62841,2016-06-06T06:04:07.478795,2016-09-01T05:06:22.673066,datasa@sa.gov.au,,2009/7/1,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Water Erosion Potential (soils),"Water erosion potential describes the susceptibility of land to sheet or rill erosion due to overland flow of water. Mapping shows the dominant water erosion potential class, while detailed proportion data are supplied for calculating respective areas of each water erosion potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/ba103bf0-5382-4726-9f97-99d11a0225ef,2016-06-09T04:07:39.068853,2016-08-29T04:56:17.909303,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
"Soil Rootzone Depth Potential CA - Sensitive horticultural crops (eg citrus, avocado)","Potential rootzone depth for irrigated horticultural crops is affected by a range of soil parameters (e.g. soil physical condition, hard rock or hardpan, soluble salts, boron concentrations, alkalinity, acidity and sodicity). Mapping shows the estimated average potential rootzone depth for sensitive crops (e.g. citrus, avocado), while detailed proportion data are supplied for calculating respective areas of each rootzone depth potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/f0ca1297-6c14-44a6-a8e4-2bc8db3c5897,2016-06-09T03:40:09.199572,2016-08-25T02:13:25.963228,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Acid Sulfate Soil Potential,"Acid sulfate soil potential mapping shows the proportion of land susceptible to the development of acid sulfate soils, while detailed proportion data are supplied for calculating respective areas of each acid sulfate soil potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/b858a5ba-e4e3-4daf-baff-40a9070092b0,2016-06-09T02:48:07.656099,2016-08-22T06:55:36.740336,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Land Systems of Southern South Australia (soil landscapes),"Land Systems (based upon groupings of Soil Landscape Map Units) are broad and readily recognisable landscape areas defined by particular and distinctive patterns of land use, geology, topography, soils and vegetation within a limited climatic range. A Land System Report is available for each Land System.",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/d40a98f0-441f-41de-8494-c3cf7da127f1,2016-06-29T06:25:41.125428,2016-08-01T05:52:52.079413,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","environment, land systems, soil landscapes, soil mapping, soils","Water, energy, resources, environment and science",Jinlei
Surface Soil Texture,"Surface texture (which refers to approximate clay content) influences many important soil qualities such as waterholding capacity, fertility and erodibility. Mapping shows the most common surface texture within each map unit, while more detailed proportion data are supplied for calculating respective areas of each surface soil texture class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/3ee7c63d-cae6-4076-a394-4db4a158e740,2016-06-09T02:07:28.253727,2016-07-11T06:54:50.039328,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Salinity - Non-watertable,"Non-watertable salinity (or dry saline land) is where soil contains elevated levels of soluble salts that are not associated with a watertable. Mapping shows the degree of non-watertable salinity, based on the most saline part of the map unit (provided it occupies at least 30%), while detailed proportion data are supplied for calculating respective areas of each non-watertable salinity class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/9cfed822-c50e-4963-98d6-8205697d7ae2,2016-06-09T03:50:03.496086,2016-07-11T05:13:13.106710,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Physical Condition of Surface Soil,"Physical condition of surface soil mapping highlights areas where plant growth may be impeded due to poor surface soil structure, predominantly due to a condition known as hard setting. Mapping shows the proportion of land with surface soils susceptible to hard setting or sealing, while detailed proportion data are supplied for calculating respective areas of each physical condition of surface soil class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/538c2525-3163-4b4e-bb56-66c34e65c90a,2016-06-09T03:34:09.982221,2016-07-11T00:15:51.535987,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Physical Condition of the Soil,"Physical condition of soil provides an integrated view of various physical impediments to plant growth associated with surface soils, subsoils and other limitations (e.g. waterlogging, salinity, rockiness or steepness). Mapping shows the most limiting soil physical condition (provided it occupies at least 30% of a map unit), while detailed proportion data are supplied for calculating respective areas of each physical condition of soil class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/0bbb3835-4576-4780-9d00-717597f688e7,2016-06-09T03:36:06.930320,2016-07-11T00:15:26.982206,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Land Types of Southern South Australia (soil landscapes),"Land Types define the broad soil grouping and dominant geologic and topographic setting of Soil Landscape Map Units. There are 29 Land Types within 14 geomorphic groups which have been described across southern South Australia. Each Soil Landscape Unit has an assigned Land Type, indicating the dominant nature of the map unit.",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/7deb7243-f032-4232-bc5e-b6335b9bccdd,2016-06-29T06:54:05.275685,2016-07-11T00:01:16.158748,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","environment, geomorphology, soil landscapes, soil mapping, soils","Water, energy, resources, environment and science",Jinlei
Natural Resource Management Regions,"The Natural Resources Management (NRM) Boundaries define the area of responsibility for each of the State's eight NRM Boards. These Boards are responsible for the planning and management of the region's Natural Resources and undertake many of the roles formally performed by the Catchment Water Management Boards, Soil Conservation Boards, Animal and Plant Control Boards etc.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/d169483c-4440-4ae8-8581-82e2690f7ed1,2013-05-17T08:40:58.654517,2016-07-08T02:14:56.047997,DEWNR.CustomerServiceCentre@sa.gov.au,N/A,2009/7/1,,South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","Boundaries Conservation, Boundaries Management, Natural Resource Management","Water, energy, resources, environment and science",Jinlei
Enviro Data SA - Natural Resources Management Regions Search,"Enviro Data SA contains a wide range of information and data relating the Natural Resources Management regions including maps, reports, downloadable data, web applications (data systems). 
",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/16fd5a79-9cc0-42a0-91c0-33ec6206c4f4,2016-07-04T00:20:43.908475,2016-07-08T02:06:44.623388,datasa@sa.gov.au,,N/A,,Adelaide & Mt Lofty Ranges Natural Resources Management Region,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources",environment,"Water, energy, resources, environment and science",Jinlei
Soil Sodium Toxicity (depth to toxic layer),"High natural levels of sodium, that are toxic to some plants, are typically associated with deep subsoil sodicity, high pH, high boron and moderate salinity, and occur mostly in drier parts of the state. Mapping shows the depth to sodium toxicity of the most severely affected portion of the map unit (provided they occupy at least 30%), while detailed proportion data are supplied for calculating respective areas of each depth to sodium toxicity class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/4336ab3c-7d17-417c-b778-ed2ef4b54555,2016-06-09T03:57:01.224923,2016-07-08T02:02:54.964433,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Exposure,"Exposure to harsh winds and sun, as determined by local topography and prevailing winds, can impede plant growth. Mapping shows the highest degree of exposure in a map unit (provided it accounts for at least 30%), while detailed proportion data are supplied for calculating respective areas of each exposure class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/d6931ccf-5e33-4b51-b18d-59be1508e1f4,2016-06-09T03:24:26.124307,2016-07-08T01:53:56.500847,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Sodium Toxicity (proportion of land affected),"High natural levels of sodium, that are toxic to some plants, are typically associated with deep subsoil sodicity, high pH, high boron and moderate salinity, and occur mostly in drier parts of the state. Mapping shows the proportion of land with sodium toxicity in the upper 100 cm of soil, while detailed proportion data are supplied for calculating total land areas affected (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/54f9e9a2-d8c8-4e4a-8c05-04e4605bd55f,2016-06-09T03:58:50.318629,2016-07-08T01:44:44.585655,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Boron Toxicity (proportion of land affected),"Boron is an essential trace element occurring naturally in soil, but is toxic to many agricultural plants at high concentrations. High boron levels are often associated with windblown deposition of marine sediments, lower rainfall areas and impermeable clay layers (due to reduced leaching).  Mapping shows the proportion of land with boron toxicity in the upper 100 cm of soil, while detailed proportion data are supplied for calculating respective areas of each boron toxicity class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/350c817c-2807-445d-8934-a8efd14f9bdb,2016-06-09T03:10:29.620929,2016-07-08T01:44:22.172294,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Structure of Subsoil (degree of limitation),"Structure of subsoil provides an indication of impediments to root, and hence plant, growth due to poorly structured subsoils. Mapping shows the most limiting subsoil structure condition (provided it accounts for at least 30% of a map unit), while detailed proportion data are supplied for calculating respective areas of each structure of subsoil class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/298e5fe4-846d-4449-8707-5a5b615528cd,2016-06-09T04:01:23.521845,2016-07-08T01:44:00.364316,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Water Repellence,"Water repellence, or non-wetting, due to coating of soil particles by waxy materials from the breakdown of plant debris can result in water beading on the surface, uneven wetting and large masses of soil remaining dry. Mapping shows the proportion of land affected and degree of water repellence, while detailed proportion data are supplied for calculating respective areas of each water repellence class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/98bd930a-9a46-4f72-a15d-e52bd748a4a0,2016-06-09T04:13:39.586313,2016-07-08T01:43:11.029455,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Gully Erosion,"Gully erosion refers to areas affected by erosion channels (more than 30 cm deep) originating from natural watercourses or artificial drainage features. Mapping shows the proportion of land affected by gully erosion, while detailed proportion data are supplied for calculating total areas affected (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/f84ee35b-3427-45e9-8c5a-f296db13824f,2016-06-09T03:28:25.496020,2016-07-08T01:41:54.701400,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Depth to Hard Rock (soils),"Hard rock is basement rock or bedrock that is too hard to dig with hand tools (and does not include hardpans). Mapping shows the average estimated depth to hard rock, while detailed proportion data are supplied for calculating respective areas of each depth to hard rock class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/47f6efe4-d68d-487d-894f-7e217db031c2,2016-06-09T03:17:24.651038,2016-07-08T01:41:11.217029,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Recharge Potential,Recharge potential mapping shows the proportion of land with high to moderate potential for water to access groundwater systems via the soil. Detailed map unit proportion data are also supplied for calculating respective areas of each recharge potential class (spatial data statistics).,dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/f0687431-fd71-438b-8c4a-71a389745acc,2016-06-09T03:37:47.761675,2016-07-08T01:40:48.620483,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Depth to Hardpan (soils),"Hardpan is material that is too hard to dig with hand tools, that has formed in-situ within or below a soil. Mapping shows the average estimated depth to hardpan, while detailed proportion data are supplied for calculating respective areas of each depth to hardpan class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/c50a9833-46c3-47ef-9627-c7534632a852,2016-06-09T03:19:55.500606,2016-07-08T01:40:28.932218,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Salinity - Watertable induced,"This assessment refers to salinity which is linked to watertables. Soluble salts in soils affect plant growth by restricting water uptake. Salinity has varying degrees of severity and distribution. Mapping shows the degree of salinity and the proportion of land affected by discrete highly saline seepage, while detailed proportion data are supplied for calculating respective areas of each watertable induced salinity class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/5fd81752-e098-4478-8038-6ccb3b33ca52,2016-06-09T03:53:50.749824,2016-07-08T01:40:05.431387,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Scalding (soils),"Scalding refers to land, primarily in low rainfall environments, where the surface soil has been eroded to expose sub-surface material that is unsuited to plant growth. Mapping shows the proportion of land affected by scalding, while detailed proportion data are supplied for calculating total areas of affected land (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/488db9e3-6a6a-44cb-897a-4cfb4262b5c9,2016-06-09T03:55:27.160003,2016-07-08T01:39:43.830303,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Surface Rockiness (soils),"Surface rockiness mapping describes the overall amount of surface stones and outcropping rock, in the context of management implications for farming. Mapping shows the estimated average degree of rockiness, while detailed proportion data are supplied for calculating respective areas of each surface rockiness class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/f594c994-4c3d-4caf-a71a-b67fc799ae69,2016-06-09T04:06:15.697180,2016-07-08T01:38:59.578854,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Groups,"Fifteen soil groups have been identified across southern South Australia, which are groupings of 61 soils (soil types). Mapping shows the most common soil group, while more detailed proportion data are supplied for calculating respective areas of each soil group (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/3030f7c2-df62-4f1f-90cd-e35a3935f975,2016-06-09T02:00:48.331090,2016-07-08T01:38:31.361766,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Mass Movement (landslip),"Mass movement (landslip) occurs on sloping ground where large slabs of the ground surface slide downhill. Mapping shows the extent of, or potential for, landslip, while detailed proportion data are supplied for calculating total land areas affected by, or with potential for, mass movement (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/539eae50-1c28-4394-90a6-4d0d15ed97ae,2016-06-09T03:32:03.286995,2016-07-08T01:38:11.574494,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Rootzone Depth Potential CE - Above ground annual crops (eg brassicas),"Potential rootzone depth for irrigated horticultural crops is affected by a range of soil parameters (e.g. soil physical condition, hard rock or hardpan, soluble salts, boron concentrations, alkalinity, acidity and sodicity). Mapping shows the estimated average potential rootzone depth for above ground annual crops (e.g. brassicas), while detailed proportion data are supplied for calculating respective areas of each rootzone depth potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/6304dc65-f052-471e-b3c8-cefb7c40d65f,2016-06-09T03:48:18.052271,2016-07-08T01:37:47.248211,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Inherent Soil Fertility,"Inherent fertility is a relative indicator of the soil's capacity to retain and release nutrients for uptake by plants, and is associated with clay and organic matter content. Mapping shows the estimated average inherent fertility based on soils present in each map unit, while detailed proportion data are supplied for calculating respective areas of each inherent fertility class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/4b0d189d-c30e-4236-ab3b-fb223ffa8d9c,2016-06-09T03:30:13.480132,2016-07-08T01:36:24.928299,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Deep Drainage Potential,"Deep drainage refers to the capacity of the deep subsoil and the material immediately below the soil profile to allow excess water to move downwards into deep sediments or fractured rock. Poorly structured or heavy clays are the most restrictive. Mapping shows the most limiting deep drainage potential class (provided this accounts for at least 30% of a map unit), while detailed proportion data are supplied for calculating respective areas of each deep drainage potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/301825a2-530d-4d23-b0eb-8a8ddc914e78,2016-06-09T03:14:35.095455,2016-07-08T01:35:39.316701,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Depth to Watertable (soils),"Depth to watertable mapping highlights land where watertables may be sufficiently shallow on a seasonal basis to affect plant growth. It is intended to describe soil conditions for plant suitability and is not intended to be a literal map of watertable levels, which will change over time. Mapping shows the shallowest depth to watertable observed (provided it accounts for at least 30% of the map unit), while detailed proportion data are supplied for calculating respective areas of each depth to watertable class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/20e66d27-ce43-4f2c-8861-2480b8eee718,2016-06-09T03:22:04.186557,2016-07-08T01:35:18.807423,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Soil Acidity,"Soil acidity mapping highlights land where acidification due to normal farming practices is, or could become, a significant problem. Mapping shows surface and subsoil acidity, and surface buffering capacity (ability to withstand pH changes), while detailed proportion data are supplied for calculating respective areas of each soil acidity class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/2d0aaf28-b9e1-4673-ae1f-b04141ccf70b,2016-06-09T02:15:00.760168,2016-07-08T01:34:57.200715,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
Subsoil Carbonate,"Fine carbonates in soil reduce nutrient availability to plants, while hard carbonate (e.g. rubble or hard pans) can restrict root growth and soil waterholding capacity. Mapping shows the proportion of land with highly calcareous subsoils within 60 cm of the surface, while detailed proportion data are supplied for calculating respective areas of each subsoil carbonate class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/e23378d8-fc67-46c6-b132-f2256b1fe1b2,2016-06-09T04:03:07.002885,2016-07-08T01:34:34.107478,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
"Soil Rootzone Depth Potential CB - Intermediate horticultural crops (eg stone fruits, almond, pome fruit)","Potential rootzone depth for irrigated horticultural crops is affected by a range of soil parameters (e.g. soil physical condition, hard rock or hardpan, soluble salts, boron concentrations, alkalinity, acidity and sodicity). Mapping shows the estimated average potential rootzone depth for intermediate sensitivity crops (e.g. almond, pome and stone fruits), while detailed proportion data are supplied for calculating respective areas of each rootzone depth potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/299423ea-d8a8-4858-9a06-5a140c37f004,2016-06-09T03:41:51.625630,2016-07-08T01:34:12.200365,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
"Soil Rootzone Depth Potential CD - Root crops (eg potatoes, carrots, onions)","Potential rootzone depth for irrigated horticultural crops is affected by a range of soil parameters (e.g. soil physical condition, hard rock or hardpan, soluble salts, boron concentrations, alkalinity, acidity and sodicity). Mapping shows the estimated average potential rootzone depth for root crops (e.g. potatoes, carrots, onions), while detailed proportion data are supplied for calculating respective areas of each rootzone depth potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/d8eadedf-dba4-4950-92a2-c8d3e775468a,2016-06-09T03:46:33.183800,2016-07-08T01:33:47.507002,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,"Dept of Environment, Water and Natural Resources","agriculture, land use, soil, soil attributes, soil mapping","Water, energy, resources, environment and science",Jinlei
